# Generated from UNIDATA/SpecialCasing.txt and UNIDATA/UnicodeData.txt.
0x00DF ( "\u00DF" "\u0053\u0073" "\u0053\u0053" )
0x0130 ( "\u0069\u0307" "\u0130" "\u0130" )
0xFB00 ( "\uFB00" "\u0046\u0066" "\u0046\u0046" )
0xFB01 ( "\uFB01" "\u0046\u0069" "\u0046\u0049" )
0xFB02 ( "\uFB02" "\u0046\u006C" "\u0046\u004C" )
0xFB03 ( "\uFB03" "\u0046\u0066\u0069" "\u0046\u0046\u0049" )
0xFB04 ( "\uFB04" "\u0046\u0066\u006C" "\u0046\u0046\u004C" )
0xFB05 ( "\uFB05" "\u0053\u0074" "\u0053\u0054" )
0xFB06 ( "\uFB06" "\u0053\u0074" "\u0053\u0054" )
0x0587 ( "\u0587" "\u0535\u0582" "\u0535\u0552" )
0xFB13 ( "\uFB13" "\u0544\u0576" "\u0544\u0546" )
0xFB14 ( "\uFB14" "\u0544\u0565" "\u0544\u0535" )
0xFB15 ( "\uFB15" "\u0544\u056B" "\u0544\u053B" )
0xFB16 ( "\uFB16" "\u054E\u0576" "\u054E\u0546" )
0xFB17 ( "\uFB17" "\u0544\u056D" "\u0544\u053D" )
0x0149 ( "\u0149" "\u02BC\u004E" "\u02BC\u004E" )
0x0390 ( "\u0390" "\u0399\u0308\u0301" "\u0399\u0308\u0301" )
0x03B0 ( "\u03B0" "\u03A5\u0308\u0301" "\u03A5\u0308\u0301" )
0x01F0 ( "\u01F0" "\u004A\u030C" "\u004A\u030C" )
0x1E96 ( "\u1E96" "\u0048\u0331" "\u0048\u0331" )
0x1E97 ( "\u1E97" "\u0054\u0308" "\u0054\u0308" )
0x1E98 ( "\u1E98" "\u0057\u030A" "\u0057\u030A" )
0x1E99 ( "\u1E99" "\u0059\u030A" "\u0059\u030A" )
0x1E9A ( "\u1E9A" "\u0041\u02BE" "\u0041\u02BE" )
0x1F50 ( "\u1F50" "\u03A5\u0313" "\u03A5\u0313" )
0x1F52 ( "\u1F52" "\u03A5\u0313\u0300" "\u03A5\u0313\u0300" )
0x1F54 ( "\u1F54" "\u03A5\u0313\u0301" "\u03A5\u0313\u0301" )
0x1F56 ( "\u1F56" "\u03A5\u0313\u0342" "\u03A5\u0313\u0342" )
0x1FB6 ( "\u1FB6" "\u0391\u0342" "\u0391\u0342" )
0x1FC6 ( "\u1FC6" "\u0397\u0342" "\u0397\u0342" )
0x1FD2 ( "\u1FD2" "\u0399\u0308\u0300" "\u0399\u0308\u0300" )
0x1FD3 ( "\u1FD3" "\u0399\u0308\u0301" "\u0399\u0308\u0301" )
0x1FD6 ( "\u1FD6" "\u0399\u0342" "\u0399\u0342" )
